station_id,station_name,n_observations
139,"LAKE CITY EXPERIMENTAL FARM, MI US",93
140,"ALMA, MI US",95
141,"VASSAR, MI US",51
142,"MANCHESTER, MI US",95
143,"BERGLAND DAM, MI US",85
144,"BENTON HARBOR AIRPORT, MI US",31
145,"IONIA 3 W, MI US",97
146,"SAULT STE MARIE, MI US",97
147,"PAULDING, MI US",89
148,"MANISTEE 3 SE, MI US",83
149,"IRON MTN KINGSFORD WWTP, MI US",59
150,"MANISTIQUE WWTP, MI US",97
151,"OLD MISSION 3 SSW, MI US",54
152,"WATERSMEET MICHIGAN, MI US",92
153,"FILION 5 NNW, MI US",97
154,"BEAVER ISLAND, MI US",37
155,"TRAVERSE CITY 4.7ESE, MI US",97
156,"MIO MICHIGAN, MI US",89
157,"MAPLE CITY 1 E, MI US",97
158,"COVINGTON 1 NNW, MI US",72
159,"BEULAH 7 SSW, MI US",97
160,"BEAR MICHIGAN, MI US",93
161,"CHELSEA, MI US",96
162,"FRANKENMUTH 1 SE, MI US",61
163,"BIG RAPIDS WATER TREATMENT PLANT, MI US",96
164,"BAD AXE, MI US",95
165,"BIG BAY 1 NW, MI US",69
166,"RUDYARD 5 SE, MI US",53
