station_id,station_name,n_observations,alpha_hier,alpha_np,shrinkage,obs_group,mae_hier,mae_np,mae_diff
0,"GRAYLING, MI US",31,25.089326195019076,25.292529466228018,0.20320327120894177,29-40,12.37904054890085,12.406444453201791,0.027403904300941306
1,"PORT AUSTIN WWTP, MI US",62,28.935950431665287,29.982337463600437,1.0463870319351507,60-80,7.6557463227039575,7.809264751895243,0.15351842919128522
2,"MILAN WWTP, MI US",30,31.830452091092248,33.64773112195006,1.8172790308578115,29-40,9.646367834045666,9.953682189198252,0.3073143551525863
3,"FREMONT 4 WSW, MI US",96,33.00971623280328,34.39936831949229,1.3896520866890114,80-100,8.055121246876528,8.227095605950728,0.17197435907420022
4,"PONTIAC WWTP, MI US",90,32.571348003694396,33.92614350026885,1.3547954965744538,80-100,8.848813223398135,8.889483770621903,0.04067054722376717
5,"MONTAGUE 4 NW, MI US",59,32.16386949202189,33.69165754963038,1.5277880576084897,40-60,8.169220293528072,8.394321337383914,0.22510104385584206
6,"WHITMORE LAKE 1 NW, MI US",93,31.323829068899713,32.55117185808601,1.2273427891862951,80-100,9.743050764362094,9.81091275449889,0.06786199013679628
7,"ISHPEMING WWTP, MI US",70,22.827879932048127,23.224475436830694,0.39659550478256733,60-80,9.160114560141944,9.18595365606591,0.025839095923966937
8,"SPINCICH LAKE MICHIGAN, MI US",92,24.28175964591697,24.962565197800487,0.6808055518835161,80-100,7.622693591476845,7.645471881177505,0.02277828970065965
9,"GOODRICH, MI US",97,30.836324243440806,32.01451115424704,1.1781869108062324,80-100,10.037667596520228,10.145489267770902,0.1078216712506741
10,"OWOSSO WWTP, MI US",95,31.02702999610175,32.2119787832245,1.184948787122753,80-100,9.545050366859359,9.625154396153416,0.08010402929405736
11,"PORT HURON, MI US",77,31.615156368095317,32.908541697664134,1.2933853295688174,60-80,8.644807699980868,8.667782213879828,0.022974513898960325
12,"KALKASKA, MI US",79,26.415251239350905,27.29234527250702,0.8770940331561157,60-80,9.584204280897564,9.688659226028014,0.10445494513044906
13,"DETOUR VILLAGE, MI US",84,23.106494836576083,23.63626956504458,0.5297747284684959,80-100,8.296987274835299,8.334504362464909,0.03751708762960959
14,"KEARSARGE, MI US",89,23.52176581087544,24.11467159366886,0.5929057827934194,80-100,7.580039738054902,7.6246158720233375,0.04457613396843563
15,"PICKFORD 3 NE, MI US",97,23.28747802599356,23.910164194903025,0.622686168909464,80-100,9.208275520149039,9.27894508192194,0.07066956177290074
16,"GLENNIE 2 SE, MI US",95,25.683827822004826,26.46786350252272,0.7840356805178956,80-100,9.111388754889584,9.199346978509416,0.08795822361983241
17,"DOE LAKE MICHIGAN, MI US",93,25.646564007674435,26.427613364712986,0.781049357038551,80-100,7.437296905690821,7.462369433785145,0.025072528094324475
18,"PARADISE, MI US",94,23.73727588446902,24.380204470184577,0.6429285857155556,80-100,7.842098820559641,7.861457011343539,0.019358190783898443
19,"ORTONVILLE 2.5 SW, MI US",93,30.943783211665544,32.13384388969164,1.1900606780260965,80-100,9.37869419152871,9.453789599147395,0.07509540761868472
20,"BOYNE FALLS, MI US",40,28.737021896413566,29.833876002275993,1.0968541058624268,29-40,9.824578839723856,9.934264250310097,0.10968541058624126
21,"GARDEN CORNERS, MI US",97,25.364662053153506,26.12544134875109,0.7607792955975832,80-100,7.9874014547394205,8.039510538460048,0.0521090837206275
22,"SALINE 4 SW, MI US",88,33.26499513476326,34.6652895353294,1.400294400566139,80-100,9.137911372040048,9.31422835503434,0.1763169829942921
23,"VANDERBILT 11 ENE, MI US",77,27.33742173560013,28.238345776481463,0.9009240408813319,60-80,9.376559394647368,9.379554456976301,0.002995062328933429
24,"SAGINAW NUMBER 3, MI US",96,30.262122633652243,31.392816827573938,1.1306941939216948,80-100,8.451197153811728,8.608485056625188,0.15728790281345972
25,"NW MICHIGAN RESEARCH FARM, MI US",92,29.076580597192844,30.130310617349743,1.0537300201568982,80-100,7.795244056231707,7.9265741435491215,0.1313300873174148
