station_id,station_name,n_train,n_test,mae_np,mae_hier,improvement,train_group
0,"GRAYLING, MI US",25,6,8.910151002204396,9.35373674199222,-0.44358573978782445,<30
1,"PORT AUSTIN WWTP, MI US",50,12,8.086863052591996,8.085378212759487,0.0014848398325089107,30-50
2,"MILAN WWTP, MI US",24,6,12.361164053141316,12.360862652915193,0.0003014002261227944,<30
3,"FREMONT 4 WSW, MI US",77,19,9.32225315296572,9.298128796732078,0.024124356233642175,70-90
4,"PONTIAC WWTP, MI US",72,18,8.058131537420023,8.103800318478607,-0.045668781058584074,70-90
5,"MONTAGUE 4 NW, MI US",48,11,4.462424454717166,4.173158526152184,0.2892659285649817,30-50
6,"WHITMORE LAKE 1 NW, MI US",75,18,10.482077277246841,10.429801469719887,0.0522758075269536,70-90
7,"ISHPEMING WWTP, MI US",56,14,11.12719124009952,11.328895934111173,-0.20170469401165292,50-70
8,"SPINCICH LAKE MICHIGAN, MI US",74,18,8.64571376539168,8.54171072603586,0.10400303935582045,70-90
9,"GOODRICH, MI US",78,19,9.432467896743034,9.336754007084119,0.09571388965891536,70-90
10,"OWOSSO WWTP, MI US",76,19,9.249938050091552,9.288617914924586,-0.03867986483303376,70-90
11,"PORT HURON, MI US",62,15,7.617094883661961,7.646748595553754,-0.029653711891793222,50-70
12,"KALKASKA, MI US",64,15,7.067962930209757,7.0988091697066675,-0.030846239496910677,50-70
13,"DETOUR VILLAGE, MI US",68,16,9.145758650841444,9.165332889098291,-0.019574238256847565,50-70
14,"KEARSARGE, MI US",72,17,9.261662347814976,9.165976199116395,0.09568614869858116,70-90
15,"PICKFORD 3 NE, MI US",78,19,11.004658552568356,11.144900529100155,-0.14024197653179904,70-90
16,"GLENNIE 2 SE, MI US",76,19,11.514493876449261,11.470218432491412,0.04427544395784899,70-90
17,"DOE LAKE MICHIGAN, MI US",75,18,7.8149983338824915,7.857429953721129,-0.04243161983863786,70-90
18,"PARADISE, MI US",76,18,7.535709923935583,7.689123131735021,-0.15341320779943768,70-90
19,"ORTONVILLE 2.5 SW, MI US",75,18,7.641168962382851,7.668166347727409,-0.026997385344557756,70-90
20,"BOYNE FALLS, MI US",32,8,8.71366761874398,8.711214308825628,0.002453309918351465,30-50
21,"GARDEN CORNERS, MI US",78,19,8.149483553274237,8.163920183036263,-0.014436629762025532,70-90
22,"SALINE 4 SW, MI US",71,17,7.961489887276343,7.816165640469995,0.14532424680634826,70-90
23,"VANDERBILT 11 ENE, MI US",62,15,9.180236321977494,9.185686420316209,-0.005450098338714682,50-70
24,"SAGINAW NUMBER 3, MI US",77,19,5.968523125549744,5.965374305834659,0.0031488197150855157,70-90
25,"NW MICHIGAN RESEARCH FARM, MI US",74,18,7.458910221017177,7.45954484751561,-0.000634626498432489,70-90
26,"CHATHAM 1 SE, MI US",75,18,6.43753497075587,6.455584885802228,-0.018049915046358223,70-90
27,"MUNSING LAKESHORE, MI US",78,19,8.205160406562904,8.216030362464485,-0.010869955901581463,70-90
28,"GAYLORD 9 SSW, MI US",152,38,8.883912290679719,8.878608475787718,0.005303814892000602,90+
29,"NORTHPORT 2 W, MI US",77,19,8.258736874707752,8.273905574589076,-0.015168699881323633,70-90
30,"CHEBOYGAN, MI US",62,15,8.550894165817352,8.471277629031794,0.07961653678555791,50-70
31,"DETROIT WILLOW RUN AIRPORT, MI US",78,19,8.388136222048042,8.355990614838822,0.03214560720921966,70-90
32,"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US",78,19,8.264131703962724,8.267590172141428,-0.0034584681787048766,70-90
33,"ANN ARBOR MUNICIPAL AIRPORT, MI US",78,19,9.050287884036878,8.898054429458687,0.15223345457819093,70-90
34,"SAULT STE MARIE SANDERSON FIELD, MI US",78,19,5.198586439971798,5.287981851121896,-0.08939541115009764,70-90
35,"CASS CITY 1 SSW, MI US",74,18,9.341419819700285,9.325534758128128,0.01588506157215619,70-90
36,"ADRIAN 2 NNE, MI US",59,14,13.145757135185283,12.89959268237642,0.24616445280886268,50-70
37,"HASTINGS, MI US",76,19,8.347384384671164,8.362360835977872,-0.014976451306708327,70-90
38,"MORENCI, MI US",61,15,10.756161011547189,10.464587514759867,0.29157349678732203,50-70
39,"CHATHAM EXPERIMENT FARM 2, MI US",76,18,7.726919981634095,7.7595592668805535,-0.032639285246458094,70-90
40,"IRON MOUNTAIN FORD AIRPORT, MI US",75,18,6.20862936359249,6.097638184966521,0.11099117862596852,70-90
41,"PORT HOPE, MI US",78,19,9.842781262077931,9.853367738235926,-0.010586476157994795,70-90
42,"COPPER HARBOR, MI US",76,19,6.740205166485955,6.748579117485513,-0.008373950999557955,70-90
43,"HANCOCK HOUGHTON CO AIRPORT, MI US",78,19,9.51698415770889,9.576689907478325,-0.0597057497694351,70-90
44,"BURTON 4 N, MI US",60,15,11.32459817719736,11.331353684504831,-0.006755507307470765,50-70
45,"LAPEER 2 W, MI US",78,19,9.890185232616288,9.848988098341618,0.04119713427466998,70-90
46,"ENGADINE MDOT, MI US",76,18,7.038017901992963,7.129880820927806,-0.09186291893484277,70-90
47,"LAPEER WWTP, MI US",78,19,9.244392365215509,9.168396159808792,0.07599620540671737,70-90
48,"DOWAGIAC 1 W, MI US",25,6,15.23743394184946,13.751752382028998,1.4856815598204616,<30
49,"HOLLAND TULIP CITY AIRPORT, MI US",77,19,9.184904477705597,9.162018960338091,0.02288551736750577,70-90
50,"STAMBAUGH 2 SSE, MI US",78,19,12.477654433953294,12.558483329202076,-0.08082889524878212,70-90
51,"GRANDVILLE 1 SW, MI US",68,17,8.648326376026077,8.514956783991094,0.1333695920349829,50-70
52,"K.I. SAWYER WWTP, MI US",78,19,7.8364816289338775,7.849581562574919,-0.01309993364104134,70-90
