,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
No Pooling,0,-84.23571990624116,9.156252875137833,0.0,1.0,3.1793847157939887,0.0,True,log
Hierarchical,1,-84.55887015538104,9.124037065778506,0.32315024913988877,0.0,3.436036386090683,0.8024162977839499,True,log
Complete Pooling,2,-103.42257293637077,4.216043422779817,19.18685303012962,1.1457484657624053e-15,3.4668649390450685,3.311748377175067,True,log
